iter	Passed	Remaining
0	0	64
1	1	55
2	1	47
3	1	43
4	2	42
5	2	40
6	2	39
7	3	37
8	3	36
9	3	35
10	4	33
11	4	32
12	4	31
13	5	30
14	5	29
15	5	29
16	5	28
17	6	27
18	6	27
19	6	26
20	6	25
21	7	25
22	7	24
23	7	24
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	21
30	9	21
31	9	20
32	10	20
33	10	20
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	16	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	24	6
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	26	4
86	26	3
87	26	3
88	26	3
89	27	3
90	27	2
91	27	2
92	28	2
93	28	1
94	28	1
95	29	1
96	29	0
97	29	0
98	29	0
99	30	0
